Transaction Number,Transaction Date,Transaction Type,Transaction Description,Debit Amount,Credit Amount,Balance,Category,Location City,Location Country
1594,2021-05-05 00:00:00,DEB,AMZNMktplace,15.99,,1794.32,Amazon,Nottingham,UK
1595,2021-05-05 00:00:00,DEB,AMAZON.CO.UK*MK9J0,15.09,,1810.31,Amazon,Nottingham,UK
1596,2021-05-05 00:00:00,DEB,Amazon.co.uk*MK602,6.0,,1825.4,Amazon,Nottingham,UK
1597,2021-05-05 00:00:00,BP,SAVE THE CHANGE,0.2,,1831.4,Savings,Nottingham,UK
1598,2021-04-05 00:00:00,,INTEREST (GROSS),,0.74,1831.6,Interest,Nottingham,UK
1599,2021-04-05 00:00:00,DEB,CAFFE NERO 650 NOT,2.8,,1830.86,Dine Out,Nottingham,UK
1600,2021-04-05 00:00:00,FPO,TRADING212UK,600.0,,1833.66,Investment,Nottingham,UK
1601,2021-04-05 00:00:00,TFR,R LAWRENCE,,200.0,2433.66,Supplementary Income,Nottingham,UK
1602,2021-04-05 00:00:00,DD,BARCLAYS UK MTGES,981.71,,2233.66,Bills,Nottingham,UK
1603,2021-04-05 00:00:00,DD,NOTTM CITY COUNC,155.06,,3215.37,Bills,Nottingham,UK
1604,2021-04-05 00:00:00,SO,Q WANG,,1000.0,3370.43,Supplementary Income,Nottingham,UK
1605,2021-04-05 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,2370.43,Savings,Nottingham,UK
1606,2021-04-05 00:00:00,BP,SAVE THE CHANGE,2.23,,2670.43,Savings,Nottingham,UK
1607,2021-04-05 00:00:00,DEB,PP*DOUGHNOTTS,6.5,,2672.66,Dine Out,Nottingham,UK
1608,2021-04-05 00:00:00,FPO,ROBERT RECORD,45.0,,2679.16,Others,Nottingham,UK
1609,2021-04-05 00:00:00,DEB,ORIENTAL MART HYDR,14.25,,2724.16,Groceries,Nottingham,UK
1610,2021-04-05 00:00:00,DEB,WILKO RETAIL LIMIT,6.0,,2738.41,Other Shopping,,
1611,2021-04-05 00:00:00,DEB,SOLO GRANO,3.47,,2744.41,Dine Out,Nottingham,UK
1612,2021-04-05 00:00:00,DEB,LIDL GB  NOTTINGHA,12.88,,2747.88,Groceries,Nottingham,UK
1613,2021-04-05 00:00:00,DEB,AMZNMKTPLACE AMAZO,5.67,,2760.76,Amazon,Nottingham,UK
1614,2021-04-05 00:00:00,FPO,ANTIGONI ABRAHMS,5.0,,2766.43,Entertainment,London,UK
1615,30/04/2021,DEB,AMAZON.CO.UK*MK74Z,3.0,,2771.43,Amazon,Nottingham,UK
1616,30/04/2021,BP,SAVE THE CHANGE,1.51,,2774.43,Savings,Nottingham,UK
1617,29/04/2021,DEB,ECOTRICITY,130.61,,2775.94,Home Improvement,Nottingham,UK
1618,29/04/2021,DEB,LIDL GB  NOTTINGHA,12.19,,2906.55,Groceries,Nottingham,UK
1619,29/04/2021,DEB,AMZNMKTPLACE AMAZO,2.69,,2918.74,Amazon,Nottingham,UK
